주문 번호,주문 일자,배송 일자,배송 방법,고객번호,고객명,고객 세그먼트,시군구,시도,국가,제품 코드,제품 대분류,제품 중분류,제품명,관리자,반품?,매출,수량,할인율,수익
IN-2024-63178,6/24/24,6/30/24,표준 배송,SO-20335,강희수,소비자,제주시,제주특별자치도,대한민국,OFF-AP-10002882,사무용품,가전,"KitchenAid Coffee Grinder, Silver",Edwin,,123495.48,2,0.15,37754.28
ID-2024-39084,6/13/24,6/17/24,표준 배송,PO-18865,최유미,소비자,울주군,울산광역시,대한민국,TEC-CO-10000666,사무기기,복사기,"Hewlett Copy Machine, Laser",Kai,Yes,698298.12,4,0.35,-64498.68
ID-2024-44908,2/27/24,3/4/24,표준 배송,AI-10855,허동춘,소비자,완도군,전라남도,대한민국,OFF-SU-10004848,사무용품,일반 사무용품,"Kleencut Shears, High Speed",Edwin,,126419.31,5,0.47,-85944.69
ID-2024-44908,2/27/24,3/4/24,표준 배송,AI-10855,허동춘,소비자,완도군,전라남도,대한민국,OFF-PA-10003332,사무용품,종이,"Xerox Cards & Envelopes, Recycled",Edwin,,48524.256,2,0.47,-15613.344
ID-2024-62926,9/18/24,9/19/24,특급 배송,MC-18100,정희성,소비자,서초구,서울특별시,대한민국,TEC-MA-10003553,사무기기,전산기기,"Epson Printer, Red",Simon,,397448.1,2,0.25,-84807.9
ID-2024-64914,3/27/24,3/28/24,특급 배송,AS-10285,주소연,기업 고객,구로구,서울특별시,대한민국,FUR-TA-10000147,가구,탁자,"Lesro Coffee Table, Rectangular",Simon,Yes,1069157.88,6,0.3,-290216.52
IN-2024-12575,11/24/24,11/29/24,표준 배송,TG-21310,남주석,소비자,여주시,경기도,대한민국,OFF-AR-10000058,사무용품,필기구,"Stanley Canvas, Water Color",Simon,,96665.4,2,0.1,25734.6
IN-2024-29697,10/6/24,10/6/24,당일 배송,JC-15340,강지환,소비자,강동구,서울특별시,대한민국,OFF-AR-10004486,사무용품,필기구,"Sanford Canvas, Blue",Simon,,139132.08,3,0.1,24657.48
IN-2024-29697,10/6/24,10/6/24,당일 배송,JC-15340,강지환,소비자,강동구,서울특별시,대한민국,OFF-PA-10000694,사무용품,종이,"Green Bar Message Books, Premium",Simon,,65517.66,3,0.1,15945.66
IN-2024-29697,10/6/24,10/6/24,당일 배송,JC-15340,강지환,소비자,강동구,서울특별시,대한민국,TEC-CO-10003702,사무기기,복사기,"Brother Ink, Digital",Simon,,809345.52,6,0.1,350712.72
ID-2024-76618,8/12/24,8/14/24,빠른 배송,RB-19330,허아라,소비자,서천군,충청남도,대한민국,OFF-ST-10004830,사무용품,수납용품,"Eldon Lockers, Blue",Luke,,181681.38,1,0.1,-16178.22
ID-2024-76618,8/12/24,8/14/24,빠른 배송,RB-19330,허아라,소비자,서천군,충청남도,대한민국,FUR-CH-10003836,가구,의자,"Harbour Creations Rocking Chair, Red",Luke,,405085.86,3,0.1,71943.66
ID-2024-76618,8/12/24,8/14/24,빠른 배송,RB-19330,허아라,소비자,서천군,충청남도,대한민국,OFF-BI-10000340,사무용품,바인더,"Avery Binding Machine, Clear",Luke,,620751.6,14,0.1,0
ID-2024-76618,8/12/24,8/14/24,빠른 배송,RB-19330,허아라,소비자,서천군,충청남도,대한민국,FUR-FU-10004158,가구,가구류,"Deflect-O Frame, Black",Luke,,101016.72,1,0.1,30300.12
IN-2024-71235,9/17/24,9/17/24,당일 배송,NC-18625,유원경,기업 고객,서대문구,서울특별시,대한민국,FUR-BO-10000112,가구,책장,"Dania Corner Shelving, Pine",Simon,,339898.68,3,0.1,67895.28
IN-2024-71235,9/17/24,9/17/24,당일 배송,NC-18625,유원경,기업 고객,서대문구,서울특별시,대한민국,OFF-PA-10000453,사무용품,종이,"Xerox Cards & Envelopes, 8.5 x 11",Simon,,90165.96,2,0.1,24987.96
ID-2024-17265,3/1/24,3/5/24,표준 배송,KB-16240,홍희창,기업 고객,노원구,서울특별시,대한민국,OFF-EN-10001491,사무용품,봉투,"Jiffy Interoffice Envelope, Set of 50",Simon,,284212.8,6,0,56732.4
